caracteristica,importancia
Aceleration_CHUMACERA A,0.18079717089429018
Envelope_CHUMACERA A,0.17894477511285597
Aceleration_CHUMACERA B,0.1479120087726632
Velocity_CHUMACERA B,0.12658403747824537
Envelope_CHUMACERA B,0.12616793385130579
Velocity_CHUMACERA A,0.12288437850843867
RPM rotor,0.08652847343202623
hora_sin,0.008250639432380939
hora_cos,0.007252706397637277
dia_mes_normalizado,0.006205617810788678
minuto_sin,0.00232216253672047
dia_semana_cos,0.0022864816975560606
minuto_cos,0.002029266113413379
dia_semana_sin,0.0018343479616777176
mes_normalizado,0.0
